t_s,current_a,label
1993.781081,1.6572,stall
1993.782081,1.6572,stall
1993.783081,1.6572,stall
1993.784082,1.6572,stall
1993.785082,1.6572,stall
1993.786082,1.6572,stall
1993.787083,1.6572,stall
1993.788084,1.6572,stall
1993.789086,1.648,stall
1993.790087,1.645,stall
1993.791089,1.6572,stall
1993.792089,1.6572,stall
1993.793089,1.6694,stall
1993.794089,1.6572,stall
1993.795089,1.6572,stall
1993.79609,1.6572,stall
1993.797092,1.6572,stall
1993.798092,1.6572,stall
1993.799093,1.6572,stall
1993.800093,1.6511,stall
1993.801095,1.6511,stall
1993.802095,1.6511,stall
1993.803097,1.6511,stall
1993.804097,1.6572,stall
1993.805099,1.6572,stall
1993.806099,1.6572,stall
1993.8071,1.6511,stall
1993.8081,1.6572,stall
1993.809101,1.6511,stall
1993.810102,1.6511,stall
1993.811103,1.6572,stall
1993.812103,1.648,stall
1993.813103,1.648,stall
1993.814103,1.6572,stall
1993.815104,1.6572,stall
1993.816105,1.6511,stall
1993.817106,1.648,stall
1993.818108,1.6572,stall
1993.819108,1.6572,stall
1993.820108,1.6572,stall
1993.821109,1.6572,stall
1993.822111,1.6511,stall
1993.823113,1.6511,stall
1993.824113,1.6511,stall
1993.825114,1.6572,stall
1993.826114,1.645,stall
1993.827116,1.6511,stall
1993.828117,1.6572,stall
1993.829117,1.6572,stall
1993.830118,1.6572,stall
1993.831118,1.6572,stall
1993.832119,1.6572,stall
1993.833121,1.6572,stall
1993.834121,1.6572,stall
1993.835123,1.6572,stall
1993.836125,1.6572,stall
1993.837125,1.6572,stall
1993.838125,1.6511,stall
1993.839125,1.6572,stall
1993.840126,1.6511,stall
1993.841126,1.6572,stall
1993.842127,1.6572,stall
1993.843127,1.6572,stall
1993.844129,1.648,stall
1993.845131,1.6511,stall
1993.846132,1.648,stall
1993.847134,1.648,stall
1993.848134,1.6511,stall
1993.849136,1.6572,stall
1993.850136,1.6572,stall
1993.851137,1.6572,stall
1993.852138,1.6572,stall
1993.853139,1.6572,stall
1993.854139,1.6511,stall
1993.855141,1.6572,stall
1993.856141,1.6511,stall
1993.857142,1.6572,stall
1993.858144,1.6572,stall
1993.859144,1.6572,stall
1993.860144,1.6511,stall
1993.861145,1.6511,stall
1993.862146,1.6572,stall
1993.863146,1.6572,stall
1993.864146,1.6572,stall
1993.865146,1.6542,stall
1993.866146,1.6572,stall
1993.867148,1.6572,stall
1993.86815,1.6572,stall
1993.869152,1.6572,stall
1993.870152,1.6572,stall
1993.871153,1.6572,stall
1993.872153,1.6572,stall
1993.873154,1.6511,stall
1993.874155,1.6511,stall
1993.875156,1.6542,stall
1993.876156,1.6572,stall
1993.877156,1.6572,stall
1993.878158,1.6572,stall
1993.879158,1.6633,stall
1993.880158,1.6572,stall
1993.881159,1.6572,stall
1993.882159,1.6511,stall
1993.88316,1.6572,stall
1993.88416,1.6816,stall
1993.88516,1.6572,stall
1993.886162,1.6572,stall
1993.887162,1.6572,stall
1993.888162,1.6633,stall
1993.889163,1.6572,stall
1993.890163,1.6694,stall
1993.891164,1.6572,stall
1993.892164,1.6694,stall
1993.893164,1.6572,stall
1993.894165,1.6572,stall
1993.895165,1.6664,stall
1993.896165,1.6633,stall
1993.897165,1.6572,stall
1993.898165,1.6572,stall
1993.899165,1.6664,stall
1993.900165,1.6572,stall
1993.901167,1.6572,stall
1993.902169,1.6694,stall
1993.90317,1.6694,stall
1993.904172,1.6694,stall
1993.905172,1.6633,stall
1993.906173,1.6633,stall
1993.907174,1.6572,stall
1993.908174,1.6694,stall
1993.909175,1.6572,stall
1993.910177,1.6572,stall
1993.911179,1.6694,stall
1993.912179,1.6633,stall
1993.91318,1.6633,stall
1993.914181,1.6694,stall
1993.915182,1.6572,stall
1993.916183,1.6755,stall
1993.917184,1.6694,stall
1993.918186,1.6694,stall
1993.919186,1.6694,stall
1993.920186,1.6755,stall
1993.921188,1.6694,stall
1993.922188,1.6755,stall
1993.92319,1.6694,stall
1993.92419,1.6572,stall
1993.92519,1.6694,stall
1993.92619,1.6694,stall
1993.927191,1.6633,stall
1993.928191,1.6633,stall
1993.929193,1.6572,stall
1993.930195,1.6572,stall
1993.931197,1.6694,stall
1993.932199,1.6572,stall
1993.933199,1.6572,stall
